,0,1,2
0,168425883.63636363,760720790.5253394,English
1,544950402.862254,3196673213.990667,Mandarin Chinese
2,374519549.3855862,4078653471.1248193,Hindi
3,567785180.9593289,6791236817.295509,Spanish
4,189017112.00291863,4522464383.534669,French
5,,,Modern Standard Arabic
6,562026304.070407,13516198821.86742,Bengali
7,391153797.0565453,9935148892.970976,Russian
8,591431937.2914242,15051279537.36175,Portuguese
9,199041917.50972763,5643544861.246327,Urdu
10,143686670.15075377,4735288802.525577,Indonesian
11,368349261.218425,17947245798.96289,Standard German
12,655294619.4577353,34270633542.71812,Japanese
13,25537222.2038111,1387552591.2485592,Nigerian Pidgin
14,549933830.0706357,36393166962.233315,Marathi
15,566730569.6969697,38837187258.65198,Telugu
16,611897919.6367764,45549764483.67577,Turkish
17,595093748.1481482,45170480750.63924,Tamil
18,652753031.7757009,50010154987.36728,Yue Chinese
19,650435743.9624853,50007879080.85482,Vietnamese
20,224715143.62089914,17906700628.56785,Tagalog
21,655015866.992665,52514784089.61477,Wu Chinese
22,,,Korean
23,477882592.248062,40491448931.51197,Iranian Persian
24,432108094.4228275,36755394737.34788,Hausa
25,,,Egyptian Spoken Arabic
26,147880439.21568626,13582996461.257317,Swahili
27,,,Javanese
28,625876001.1782032,60450735933.76824,Italian
29,,,Western Punjabi
30,498011490.0,51031984397.535,Kannada
31,602929083.8709677,63776049153.94464,Gujarati
32,223647847.1169687,24163458705.34058,Thai
33,369538960.6956522,42147852923.46381,Amharic
34,653319247.2380953,81611097287.14177,Bhojpuri
35,610151384.139265,77398068932.86089,Eastern Punjabi
36,650539389.9396378,85842088816.03166,Min Nan Chinese
37,,,Jin Chinese
38,627053670.1754386,90182638825.79994,Yoruba
39,651356255.7823129,96864148846.29083,Hakka Chinese
40,503301879.0697674,76761448931.8663,Burmese
41,516281940.4255319,80044156759.62538,Sudanese Spoken Arabic
42,646125714.2857143,104369609665.30612,Polish
43,564686618.3622829,91893653301.85318,Algerian Spoken Arabic
44,330349808.43672454,53759111297.625916,Lingala
